stock1,stock2,signal,z_score,hedge_ratio,half_life,annualized_return,kelly_fraction,capital_allocation,shares1,shares2,price1,price2,win_prob,win_loss_ratio,hedge_error
GPN,OMC,BUY,-3.3984871119149496,2.1055299937520333,6.128544393765016,80.90247356990609,0.006067316412783745,606.645,11,5,37.77,38.235,0.51,4.818661693421805,3.2160271295723306
LHX,HOOD,SELL,2.986623151728761,0.902829674111611,6.062444478652006,31.65097100812224,0.006505228946693588,650.4300000000001,1,3,304.35,115.36,0.51,2.453799054094035,2.5928180750272563
KIM,NCLH,BUY,-2.661506553655145,0.1838803009842953,4.981888637519599,16.874002691612386,0.006189883915423122,618.9,10,23,9.565,22.75,0.51,1.6148801920231783,0.5876062263038164
FOX,MDT,SELL,3.0897581941224126,0.6882389851719707,15.291045885654912,15.837790377660836,0.006491927047182338,649.1,8,4,32.97,96.33500000000001,0.51,2.8451321147852138,0.5452404880226077
STZ,MU,SELL,2.70192016996812,-0.2945938332084267,6.817481983931724,13.86541602876994,0.005945248981554566,594.44,2,3,66.97,153.5,0.51,1.6962902581377002,1.2682104940816543
DVA,DGX,BUY,-2.639922286785701,-1.258738062788733,6.001555302526112,13.118449697087097,0.008054050118356903,805.2900000000001,4,2,114.46000000000001,173.72500000000002,0.51,1.5733823633712662,4.685384359118466
HII,UDR,SELL,2.660353464992695,-14.000838629621736,6.862670892744336,12.207366371987185,0.007510722531177453,750.965,4,3,174.74,17.335,0.51,1.6126294575015754,4.0039922912609915
AME,QCOM,SELL,2.6659062240171862,0.7762072622332963,7.019223829179443,12.13420482050375,0.007255486083412711,725.4449999999999,3,5,104.54,82.365,0.51,1.6235037319033923,1.8899850983609603
AME,CI,SELL,2.5845805380447087,-0.3921199880981311,6.685187564251683,9.842623543039657,0.007640991133533869,763.99,2,2,104.54,277.455,0.51,1.4727652078239928,3.9116005529664952
CRWD,ERIE,BUY,-2.543302390884564,-1.0961369358747357,6.259300586273972,9.073594589838063,0.008547470578798653,854.625,2,3,219.0,138.875,0.51,1.402694957483549,4.089982181460545
XOM,VLO,SELL,2.568854627195306,0.1830119038119211,7.475133932704096,8.335327932559094,0.007827717798101567,782.6599999999999,1,4,122.57999999999998,165.01999999999998,0.51,1.4455936248746402,1.471412072664666
XOM,PHM,SELL,2.5774491780831976,0.1893065042615388,10.12856238690955,6.339165082045532,0.007768609357416239,776.75,1,11,122.57999999999998,59.47,0.51,1.4603690399503326,1.0163515478809713
XOM,XEL,SELL,2.5542491593068037,0.4876589429694025,9.69911558407408,6.09668466046472,0.007678196446452554,767.71,2,7,122.57999999999998,74.65,0.51,1.420887404306713,3.7932447223656602
